Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
GS98873,Arizona,F,Bachelor,323912.47%,16061,88,1/0/00,Personal Auto,Four-Door Car,633.6
CW49887,California,F,Master,462680.11%,79487,114,1/0/00,Special Auto,SUV,547.2
MY31220,California,F,College,899704.02%,54230,112,1/0/00,Personal Auto,Two-Door Car,537.6
UH35128,Oregon,F,College,2580706.30%,71210,214,01/01/2000,Personal Auto,Luxury Car,1027.2
WH52799,Arizona,F,College,380812.21%,94903,94,1/0/00,Corporate Auto,Two-Door Car,451.2
WL99637,Arizona,M,Bachelor,761413.80%,27293,96,1/0/00,Personal Auto,Two-Door Car,469.030907
UC84059,California,F,Master,689845.53%,70950,171,1/0/00,Personal Auto,Sports Car,565.929394
HW62747,Oregon,M,College,229837.92%,0,63,1/0/00,Corporate Auto,Four-Door Car,302.4
BH11344,Oregon,F,Doctor,280669.61%,37009,71,1/0/00,Corporate Auto,Two-Door Car,145.673348
TX28465,Nevada,M,College,520611.82%,52629,65,1/0/00,Personal Auto,Four-Door Car,136.684141
OK56965,California,F,Bachelor,4570865.34%,31264,198,01/01/2000,Personal Auto,Luxury SUV,825.657746
WT22392,Oregon,F,College,800734.91%,65473,67,1/0/00,Personal Auto,Four-Door Car,277.685667
PH85036,Washington,F,Bachelors,548254.94%,79325,68,1/0/00,Corporate Auto,Four-Door Car,251.294821
KC71643,Oregon,M,High School or Below,246323.68%,99144,61,1/0/00,Corporate Auto,Four-Door Car,292.8
NR32615,California,M,College,549894.07%,22520,73,1/0/00,Corporate Auto,Four-Door Car,350.4
GS69842,Arizona,F,Bachelor,524382.80%,36615,65,1/0/00,Special Auto,Four-Door Car,264.563772
WT71621,Washington,F,Bachelors,328045.73%,63297,82,1/0/00,Personal Auto,Four-Door Car,251.756739
KD23847,Arizona,F,High School or Below,488654.43%,76374,61,1/0/00,Personal Auto,Four-Door Car,292.8
PE59368,Washington,F,Bachelors,512348.50%,72096,6464,1/0/00,Personal Auto,Two-Door Car,252.330905
NK91488,Nevada,M,Master,547955.51%,56005,68,01/01/2000,Personal Auto,Four-Door Car,326.4
CR33417,Washington,F,Master,476215.70%,36529,118,1/0/00,Personal Auto,SUV,255.005116
WP73172,Oregon,F,Bachelor,828767.93%,81367,103,1/0/00,Special Auto,SUV,415.768941
PS30217,California,F,Bachelor,988665.64%,44817,83,1/0/00,Personal Auto,Four-Door Car,527.421579
EL62967,Oregon,F,High School or Below,271291.56%,58508,69,1/0/00,Personal Auto,Two-Door Car,57.614392
MU23938,Oregon,M,Bachelor,1047767.63%,45259,138,1/0/00,Personal Auto,SUV,272.217171
VC83809,California,M,Doctor,343613.43%,30817,88,1/0/00,Personal Auto,Four-Door Car,91.834668
VL34577,Oregon,F,High School or Below,259618.52%,0,72,1/0/00,Personal Auto,Two-Door Car,345.6
QE12539,California,M,Doctor,1273195.16%,40870,105,1/0/00,Personal Auto,SUV,504
YO15246,Nevada,M,High School or Below,349414.79%,35001,96,01/03/2000,Personal Auto,Four-Door Car,460.8
WF73839,Arizona,F,College,759791.07%,49937,64,1/0/00,Personal Auto,Two-Door Car,302.586407
TJ11671,Oregon,F,Bachelor,401521.45%,0,109,1/0/00,Personal Auto,Four-Door Car,523.2
SV34223,California,F,College,2047710.84%,58317,73,1/0/00,Personal Auto,Four-Door Car,350.4
XD19546,California,F,High School or Below,816068.98%,0,109,1/0/00,Personal Auto,SUV,523.2
OY95739,Nevada,M,High School or Below,1229868.63%,17101,113,1/0/00,Corporate Auto,SUV,542.4
SW57539,California,F,College,871492.21%,0,118,1/0/00,Corporate Auto,SUV,566.4
IA62027,Arizona,F,Bachelor,485353.42%,0,65,1/0/00,Personal Auto,Four-Door Car,468
FZ20933,Oregon,M,High School or Below,488094.64%,24398,63,01/01/2000,Personal Auto,Four-Door Car,302.4
WR62597,Oregon,M,College,231138.21%,24641,61,1/0/00,Corporate Auto,Four-Door Car,294.92773
KU61611,Arizona,M,High School or Below,432709.89%,69040,108,1/0/00,Corporate Auto,Sports Car,518.4
XW98867,Oregon,M,High School or Below,1229868.63%,17101,113,1/0/00,Personal Auto,SUV,542.4
PP80817,California,F,High School or Below,832353.33%,59886,104,1/0/00,Personal Auto,Sports Car,71.729298
DT77901,Oregon,F,Bachelor,1017971.70%,14290,271,1/0/00,Personal Auto,Luxury SUV,1300.8
DX34647,California,F,College,776126.78%,43137,96,1/0/00,Personal Auto,Two-Door Car,460.8
OD56551,Oregon,M,College,523989.09%,27978,69,01/01/2000,Personal Auto,Four-Door Car,447.911255
OO63074,California,F,Bachelor,451790.88%,25261,118,1/0/00,Personal Auto,SUV,566.4
EH24828,Nevada,M,College,238977.41%,58652,64,01/05/2000,Personal Auto,Four-Door Car,307.2
CX99919,Nevada,F,College,413062.88%,28321,111,1/0/00,Corporate Auto,SUV,537.391704
DG80424,Washington,F,College,269156.90%,77411,67,1/0/00,Personal Auto,Four-Door Car,257.900458
NU32697,Oregon,M,College,522776.64%,0,72,1/0/00,Corporate Auto,Four-Door Car,518.4
PU98976,California,F,Bachelor,618734.57%,0,88,1/0/00,Personal Auto,Four-Door Car,633.6
ZR20842,Arizona,M,College,511387.47%,94415,127,01/01/2000,Personal Auto,Sports Car,492.770321
NF35573,Oregon,M,High School or Below,1103931.62%,0,103,1/0/00,Special Auto,SUV,1149.203884
DF66914,Arizona,F,Bachelor,3222708.39%,45331,100,1/0/00,Personal Auto,SUV,572.635987
YM99866,Arizona,M,High School or Below,261196.59%,53904,67,01/02/2000,Personal Auto,Four-Door Car,321.6
VH62084,California,M,High School or Below,1337232.77%,0,74,1/0/00,Personal Auto,Four-Door Car,811.086484
SE28250,Arizona,M,Bachelor,483898.19%,0,70,01/02/2000,Special Auto,Four-Door Car,336
MD86050,Oregon,M,High School or Below,472165.90%,0,67,1/0/00,Personal Auto,Four-Door Car,482.4
GF17866,Oregon,M,College,387364.70%,28142,105,1/0/00,Corporate Auto,Sports Car,701.708239
UB16654,Washington,M,Master,471855.85%,15680,6464,1/0/00,Personal Auto,Four-Door Car,260.879903
KO44736,Oregon,M,Bachelor,1697979.76%,35095,73,1/0/00,Personal Auto,Two-Door Car,525.6
KI55845,Oregon,F,College,1368171.18%,55588,114,1/0/00,Personal Auto,SUV,547.2
JJ24476,Arizona,F,Master,571722.19%,52391,71,1/0/00,Personal Auto,Two-Door Car,409.763267
VC68509,Oregon,F,Bachelor,948659.64%,42240,79,1/0/00,Personal Auto,Four-Door Car,46.386546
QN62502,Oregon,F,Bachelor,383914.37%,70146,96,1/0/00,Personal Auto,Four-Door Car,157.440069
EL92515,Oregon,F,College,1121159.03%,41121,94,1/0/00,Personal Auto,Four-Door Car,451.2
VL84149,Oregon,F,College,2580706.30%,71210,214,01/01/2000,Corporate Auto,Luxury Car,1027.2
JX19907,Oregon,M,Bachelor,379832.17%,0,107,01/01/2000,Corporate Auto,Two-Door Car,1261.943541
BC66921,Nevada,F,High School or Below,281656.74%,41228,71,1/0/00,Personal Auto,Four-Door Car,340.8
RK24470,Washington,M,Bachelors,502929.70%,40113,67,01/03/2000,Corporate Auto,Two-Door Car,262.047663
GN80437,Oregon,F,College,344496.75%,0,91,1/0/00,Special Auto,Four-Door Car,596.050118
AH65907,California,F,Bachelor,285940.86%,51790,71,1/0/00,Personal Auto,Four-Door Car,340.8
VG57728,California,M,High School or Below,269205.76%,92593,68,1/0/00,Corporate Auto,Four-Door Car,8.44322
AF81450,California,M,High School or Below,1143173.09%,28657,100,1/0/00,Personal Auto,SUV,588.742251
YI28422,Oregon,M,High School or Below,763588.33%,30262,98,01/01/2000,Personal Auto,Four-Door Car,499.22561
GR26937,Oregon,F,Master,980582.96%,47197,81,1/0/00,Corporate Auto,Four-Door Car,76.112618
BR99015,California,F,Bachelor,680361.56%,0,94,1/0/00,Personal Auto,Four-Door Car,451.2
PB11270,Oregon,F,Bachelor,710765.54%,0,61,1/0/00,Personal Auto,Four-Door Car,541.561209
PZ89632,Oregon,F,High School or Below,473518.45%,0,134,1/0/00,Personal Auto,SUV,964.8
LV62981,Arizona,M,College,687432.67%,22093,87,1/0/00,Corporate Auto,Two-Door Car,616.749885
AS97690,Arizona,M,College,241125.66%,54483,61,1/0/00,Personal Auto,Two-Door Car,292.8
SG32258,Arizona,F,College,241654.24%,18944,63,1/0/00,Personal Auto,Four-Door Car,125.274351
MY80583,Oregon,F,Bachelor,2398154.34%,84365,66,1/0/00,Personal Auto,Four-Door Car,316.8
WS57286,Arizona,M,College,469216.52%,0,64,1/0/00,Personal Auto,Four-Door Car,137.169296
MF53477,California,F,High School or Below,360093.43%,25147,101,1/0/00,Corporate Auto,SUV,694.598288
DQ28641,Nevada,M,High School or Below,266522.25%,14315,71,1/0/00,Personal Auto,Four-Door Car,511.2
EX46492,Arizona,F,Master,766652.04%,87864,94,1/0/00,Personal Auto,Two-Door Car,421.456547
VW20823,California,M,High School or Below,1667589.62%,57844,85,01/01/2000,Personal Auto,Four-Door Car,408
LH26563,Oregon,F,High School or Below,455085.60%,17913,116,1/0/00,Personal Auto,Four-Door Car,556.8
FR56877,Arizona,F,High School or Below,1176393.57%,28806,99,1/0/00,Special Auto,Four-Door Car,475.2
ZY99878,California,M,High School or Below,1374253.72%,90343,175,1/0/00,Personal Auto,SUV,833.072722
CS15289,Oregon,F,Master,1613841.63%,79041,199,1/0/00,Personal Auto,Luxury SUV,419.26062
MM49431,Washington,M,Bachelor,729858.36%,74069,63,01/02/2000,Personal Auto,Two-Door Car,275.516438
IA96447,California,M,College,667373.77%,85019,167,1/0/00,Personal Auto,Sports Car,801.6
PT32230,California,F,High School or Below,778212.68%,70059,194,1/0/00,Personal Auto,Luxury SUV,253.740993
NK73719,California,F,College,1939321.15%,70503,164,01/01/2000,Corporate Auto,SUV,41.05291
OH15771,California,M,Bachelor,397413.82%,0,117,1/0/00,Personal Auto,SUV,561.6
XP61034,Oregon,M,Bachelor,410558.10%,39492,105,1/0/00,Personal Auto,SUV,756
ZN34245,Arizona,M,College,230847.21%,0,68,1/0/00,Corporate Auto,Four-Door Car,489.6
FX55923,Arizona,M,Bachelor,537291.45%,50405,70,01/01/2000,Personal Auto,Four-Door Car,7.069583
ZZ83340,Oregon,F,Doctor,550831.55%,96021,68,1/0/00,Personal Auto,Two-Door Car,315.004602
HA99340,Oregon,M,High School or Below,239833.32%,0,65,1/0/00,Personal Auto,Two-Door Car,422.947888
LE43061,California,M,High School or Below,372883.01%,0,105,1/0/00,Personal Auto,Four-Door Car,756
UF77413,Oregon,M,College,275849.86%,65794,69,01/01/2000,Personal Auto,Four-Door Car,277.27294
UY45293,Oregon,M,Bachelor,370393.03%,21975,95,1/0/00,Corporate Auto,Four-Door Car,456
TH84309,California,M,High School or Below,937284.36%,0,126,1/0/00,Personal Auto,SUV,604.8
PZ94551,Oregon,F,Bachelor,499158.45%,56649,125,1/0/00,Special Auto,SUV,780.090361
UE76013,Washington,F,Master,503986.93%,35984,128,01/03/2000,Personal Auto,SUV,275.577631
HS85465,California,M,Bachelor,275997.83%,92296,69,1/0/00,Corporate Auto,Two-Door Car,331.2
SI78985,Oregon,F,Bachelor,799300.40%,39448,103,01/03/2000,Personal Auto,Four-Door Car,66.020788
KF50730,California,F,Bachelor,523557.35%,71794,131,1/0/00,Personal Auto,SUV,457.471225
JO13576,California,F,High School or Below,263301.18%,21861,69,1/0/00,Personal Auto,Four-Door Car,348.278032
HJ79774,Oregon,F,College,276480.23%,31591,72,01/04/2000,Corporate Auto,Four-Door Car,240.241499
KI18648,Arizona,F,Bachelor,808484.64%,60662,68,1/0/00,Special Auto,Two-Door Car,326.4
EL99335,California,F,College,268517.77%,20608,73,1/0/00,Personal Auto,Four-Door Car,350.4
LE84979,California,F,Master,1220812.00%,21331,103,1/0/00,Personal Auto,SUV,419.062661
CE12380,Arizona,F,College,2009043.87%,0,66,01/01/2000,Corporate Auto,Four-Door Car,252.149798
BJ22117,Washington,M,Master,513341.48%,53390,6464,1/0/00,Personal Auto,Four-Door Car,278.999409
JF83834,Oregon,M,Doctor,249131.70%,36631,62,1/0/00,Corporate Auto,Four-Door Car,67.530904
YN10988,California,M,High School or Below,631459.68%,0,87,1/0/00,Personal Auto,Four-Door Car,417.6
YX15941,Oregon,M,College,1622964.89%,26030,139,01/01/2000,Corporate Auto,Sports Car,667.2
ZB50601,Nevada,M,College,516178.99%,0,70,1/0/00,Personal Auto,Four-Door Car,469.491537
HP50399,Nevada,M,Bachelor,398226.61%,0,113,1/0/00,Personal Auto,SUV,542.4
GC17585,AZ,M,Bachelor,1347318.57%,25302,70,01/01/2000,Personal Auto,Four-Door Car,336
QW17286,Washington,F,Master,277832.39%,66030,69,01/01/2000,Personal Auto,Four-Door Car,282.153792
DO41287,Oregon,M,High School or Below,827644.42%,0,82,1/0/00,Personal Auto,Four-Door Car,590.4
GT54462,AZ,M,Bachelor,1434985.99%,73222,180,1/0/00,Personal Auto,SUV,821.51673
BT76268,California,F,College,587819.93%,22061,74,1/0/00,Personal Auto,Four-Door Car,355.2
QM38267,AZ,F,High School or Below,266605.45%,86321,66,1/0/00,Personal Auto,Four-Door Car,316.8
LP82042,Oregon,M,Bachelor,534568.10%,54668,68,01/01/2000,Personal Auto,Four-Door Car,326.4
EF52978,AZ,F,High School or Below,477712.16%,0,62,1/0/00,Personal Auto,Four-Door Car,297.6
GH54524,California,M,High School or Below,1697374.02%,69497,142,1/0/00,Personal Auto,SUV,92.286763
DP26592,Oregon,M,High School or Below,251811.21%,86617,63,1/0/00,Personal Auto,Four-Door Car,188.325603
UP29839,Nevada,F,Master,1916098.99%,22705,239,1/0/00,Personal Auto,Luxury SUV,1294.700423
IB80924,Washington,F,High School or Below,3286440.46%,90783,104,01/02/2000,Personal Auto,SUV,285.745227
OB55054,Oregon,M,Bachelor,396481.30%,88410,99,1/0/00,Corporate Auto,Four-Door Car,475.2
NP91656,California,F,Bachelor,491177.31%,0,69,1/0/00,Personal Auto,Four-Door Car,496.8
SH74080,Oregon,F,College,780531.29%,21073,106,01/01/2000,Personal Auto,SUV,508.8
KN25556,AZ,F,College,720066.49%,0,66,1/0/00,Personal Auto,Four-Door Car,316.8
RB38792,Oregon,M,College,538949.95%,66429,136,1/0/00,Personal Auto,Sports Car,57.712985
QR72180,California,F,Doctor,324131.42%,66889,80,1/0/00,Personal Auto,Four-Door Car,294.319428
TW64385,California,M,Bachelor,552821.28%,36088,72,1/0/00,Corporate Auto,Four-Door Car,345.6
TM13955,Washington,M,Master,299302.46%,0,80,1/0/00,Corporate Auto,Four-Door Car,286.115778
GF94951,AZ,M,Bachelor,707665.32%,0,68,1/0/00,Corporate Auto,Two-Door Car,489.6
NF53775,California,F,College,370038.50%,17557,96,1/0/00,Personal Auto,Four-Door Car,666.724937
YB58778,California,F,College,532883.59%,81064,70,01/04/2000,Personal Auto,Two-Door Car,42.238585
PH77560,Nevada,F,High School or Below,483887.71%,0,66,1/0/00,Personal Auto,Four-Door Car,700.331425
ZO14864,Washington,F,Master,341720.50%,42526,86,1/0/00,Personal Auto,Two-Door Car,287.5426
BI34376,California,F,Doctor,787992.90%,45703,98,1/0/00,Personal Auto,Two-Door Car,470.4
UQ63396,California,F,Bachelor,786943.24%,40036,65,1/0/00,Personal Auto,Four-Door Car,48.828732
BR23201,California,M,Bachelor,258680.72%,0,71,1/0/00,Personal Auto,Four-Door Car,191.640085
VH45094,AZ,M,High School or Below,728678.91%,65870,61,01/01/2000,Personal Auto,Four-Door Car,202.847644
KD47243,California,F,Bachelor,1179799.21%,91469,100,01/02/2000,Personal Auto,SUV,418.864555
MY13737,California,M,High School or Below,938675.30%,42090,119,1/0/00,Corporate Auto,SUV,203.352239
OR48881,Oregon,F,Doctor,630892.24%,21368,79,1/0/00,Corporate Auto,Four-Door Car,4.61262
BD77090,Washington,F,Bachelors,860915.82%,79090,107,1/0/00,Personal Auto,SUV,289.040734
LW77178,Oregon,F,Bachelor,1542801.04%,33879,98,1/0/00,Corporate Auto,Two-Door Car,470.4
BQ12347,AZ,M,High School or Below,563079.30%,72874,70,1/0/00,Special Auto,Four-Door Car,336
FF61670,California,M,High School or Below,1813118.87%,0,82,01/01/2000,Personal Auto,Four-Door Car,393.6
PM61374,California,F,Bachelor,808721.95%,0,110,1/0/00,Personal Auto,Two-Door Car,550.825934
BW25236,AZ,M,College,1845357.63%,72215,66,1/0/00,Personal Auto,Four-Door Car,247.911872
XO22038,California,F,Bachelor,521751.33%,39854,66,1/0/00,Corporate Auto,Two-Door Car,261.930545
QG51953,Oregon,M,College,483578.32%,36655,61,1/0/00,Personal Auto,Four-Door Car,295.223164
SZ56338,Oregon,F,High School or Below,559712.50%,37995,139,1/0/00,Personal Auto,SUV,667.2
PX60116,California,F,High School or Below,892046.40%,40867,112,1/0/00,Corporate Auto,Two-Door Car,537.6
BW46202,Oregon,F,Bachelor,599541.10%,28804,78,1/0/00,Personal Auto,Two-Door Car,76.025368
GW14109,California,F,High School or Below,3849694.70%,48409,124,1/0/00,Special Auto,SUV,345.211703
GP42026,California,M,High School or Below,838263.01%,19683,117,01/01/2000,Personal Auto,Sports Car,561.6
DH41343,Washington,NA,College,244366.52%,92834,61,1/0/00,Special Auto,Four-Door Car,292.8
PY42157,Washington,F,High School or Below,247225.39%,62006,61,1/0/00,Personal Auto,Four-Door Car,292.8
OL36978,California,F,High School or Below,540551.84%,67241,68,01/01/2000,Personal Auto,Two-Door Car,5.674809
KT40899,California,M,High School or Below,935247.90%,75436,78,1/0/00,Personal Auto,Four-Door Car,9.747443
WE60408,AZ,F,College,433987.11%,91761,109,01/02/2000,Personal Auto,SUV,779.052276
LG64797,California,F,College,1772376.40%,25771,222,1/0/00,Personal Auto,Luxury SUV,1253.984948
MD87746,Oregon,M,College,750745.54%,60920,64,1/0/00,Personal Auto,Two-Door Car,231.201886
QP80741,Washington,F,College,604857.42%,0,61,01/03/2000,Corporate Auto,Four-Door Car,292.8
WO59883,Washington,F,High School or Below,1901447.63%,29822,61,1/0/00,Personal Auto,Two-Door Car,292.8
MU79385,AZ,M,College,1008037.03%,60944,130,01/02/2000,Personal Auto,SUV,623.505066
JH30384,California,F,High School or Below,650339.70%,22081,84,1/0/00,Personal Auto,Two-Door Car,451.670309
LL45497,Washington,female,College,248772.97%,67282,62,1/0/00,Personal Auto,Two-Door Car,297.6
SK95364,California,F,College,462039.01%,0,130,1/0/00,Personal Auto,SUV,936
VG56765,Arizona,M,High School or Below,247152.84%,95697,61,1/0/00,Personal Auto,Two-Door Car,114.273025
NE24371,Oregon,F,College,649424.40%,15300,85,1/0/00,Personal Auto,Four-Door Car,408
KR48903,Washington,M,High School or Below,250490.76%,88264,62,1/0/00,Personal Auto,Two-Door Car,297.6
ZF27999,Nevada,F,College,490489.47%,12902,139,1/0/00,Personal Auto,Sports Car,667.2
MH40017,Arizona,M,High School or Below,480247.70%,29809,61,1/0/00,Personal Auto,Four-Door Car,365.312072
YJ99764,Nevada,M,High School or Below,795577.48%,0,74,1/0/00,Personal Auto,Four-Door Car,355.2
AG22225,Oregon,M,High School or Below,694190.08%,0,96,1/0/00,Personal Auto,Four-Door Car,460.8
ZJ26179,Oregon,M,Bachelor,838247.84%,25998,71,1/0/00,Personal Auto,Four-Door Car,791.878042
VO36036,Oregon,F,Doctor,353643.18%,28248,90,1/0/00,Personal Auto,Four-Door Car,634.385937
ZQ94281,California,F,College,324481.66%,68103,82,1/0/00,Personal Auto,Two-Door Car,277.795988
CK40732,California,F,High School or Below,761121.28%,0,103,1/0/00,Special Auto,Four-Door Car,741.6
UT73461,Oregon,F,Doctor,450539.83%,81079,111,1/0/00,Special Auto,SUV,134.222332
LT57320,Nevada,F,Master,244584.48%,22732,62,1/0/00,Personal Auto,Four-Door Car,15.616535
BZ44726,Nevada,F,High School or Below,1647776.84%,49825,70,01/03/2000,Corporate Auto,Two-Door Car,336
VU32116,Oregon,F,College,354640.02%,0,103,1/0/00,Personal Auto,SUV,621.959357
EG94326,Nevada,M,High School or Below,427727.01%,77265,107,1/0/00,Personal Auto,SUV,513.6
EJ43595,California,M,High School or Below,478477.35%,0,72,1/0/00,Corporate Auto,Four-Door Car,779.629297
QI37869,California,M,College,757223.77%,12876,107,01/02/2000,Corporate Auto,Four-Door Car,425.964628
SX65826,Arizona,M,Bachelor,1176087.64%,36431,99,1/0/00,Personal Auto,Two-Door Car,513.252488
XO42145,Oregon,M,High School or Below,393381.40%,25927,103,1/0/00,Personal Auto,SUV,674.973614
WJ74851,Nevada,F,Bachelor,570076.18%,26811,72,1/0/00,Personal Auto,Two-Door Car,465.763576
IG68709,Oregon,F,High School or Below,349863.48%,41711,90,1/0/00,Personal Auto,Four-Door Car,351.286604
AC75391,Arizona,F,College,576809.13%,35091,74,1/0/00,Corporate Auto,Two-Door Car,418.927204
WO94087,Arizona,F,Bachelor,636195.40%,0,87,1/0/00,Corporate Auto,Four-Door Car,417.6
YJ69332,Oregon,F,High School or Below,650339.70%,22081,84,1/0/00,Personal Auto,Two-Door Car,451.670309
WX87964,Washington,M,High School or Below,493519.00%,29560,62,1/0/00,Personal Auto,Four-Door Car,297.6
PD32641,Oregon,M,College,578522.35%,31320,72,1/0/00,Personal Auto,Four-Door Car,293.86579
CK39096,Oregon,M,High School or Below,561968.91%,0,153,1/0/00,Personal Auto,SUV,1027.000029
QV19964,Oregon,M,Doctor,259928.96%,33947,66,01/01/2000,Personal Auto,Four-Door Car,192.213037
BF72793,California,F,High School or Below,673297.09%,0,62,1/0/00,Personal Auto,Two-Door Car,446.4
WB12017,California,F,College,1832186.65%,21189,66,1/0/00,Personal Auto,Two-Door Car,316.8
JO17193,Washington,M,Bachelors,230069.15%,25905,63,1/0/00,Personal Auto,Four-Door Car,302.4
AY84441,Oregon,M,High School or Below,400285.76%,0,114,1/0/00,Personal Auto,SUV,820.8
JQ65500,Oregon,F,Bachelor,862099.74%,44988,108,1/0/00,Corporate Auto,Two-Door Car,518.4
OI29521,Oregon,F,College,1038898.60%,33432,90,1/0/00,Corporate Auto,Two-Door Car,161.423101
MJ51323,Oregon,F,Bachelor,842717.25%,46503,215,01/01/2000,Personal Auto,Luxury SUV,1032
QI64880,California,M,Bachelor,700727.42%,0,101,1/0/00,Corporate Auto,SUV,973.787176
HV93429,Oregon,F,Master,517657.91%,23636,65,1/0/00,Personal Auto,Four-Door Car,81.452537
TA89713,Oregon,M,College,538949.95%,66429,136,1/0/00,Personal Auto,Sports Car,57.712985
OB98149,Washington,F,College,470000.75%,11417,63,1/0/00,Personal Auto,Two-Door Car,302.4
LE65901,Oregon,F,Bachelor,443494.14%,58082,112,01/01/2000,Personal Auto,SUV,103.022126
FF68864,Arizona,F,Bachelor,1401052.74%,36523,71,1/0/00,Personal Auto,Four-Door Car,101.353875
YX99200,Nevada,M,Bachelor,1235005.82%,54710,103,1/0/00,Personal Auto,Two-Door Car,294.058449
LZ26801,California,F,High School or Below,816157.69%,73466,102,01/01/2000,Personal Auto,SUV,204.74051
TA66375,Oregon,F,Bachelor,1100913.05%,51643,283,1/0/00,Corporate Auto,Luxury Car,1358.4
SC92090,Arizona,M,College,871704.98%,83846,74,01/03/2000,Personal Auto,Four-Door Car,355.2
TK40018,Oregon,M,High School or Below,591746.66%,0,169,1/0/00,Personal Auto,SUV,1207.084251
ZD63451,California,M,Bachelor,250366.04%,53338,63,01/01/2000,Personal Auto,Four-Door Car,35.45384
AO98601,Washington,NA,Bachelor,501888.52%,54500,63,1/0/00,Corporate Auto,Two-Door Car,302.4
DT35588,Oregon,M,College,433038.60%,60475,107,1/0/00,Personal Auto,Four-Door Car,513.6
VF87723,California,M,College,1048774.33%,30658,89,1/0/00,Personal Auto,Four-Door Car,441.757585
QP69826,Arizona,M,Bachelor,356750.38%,0,102,1/0/00,Corporate Auto,SUV,660.430456
UW37050,Oregon,F,Bachelor,1989642.23%,60420,248,1/0/00,Personal Auto,Luxury SUV,632.944366
UH62254,Oregon,M,Bachelor,2142363.72%,0,65,1/0/00,Personal Auto,Two-Door Car,312
IA15979,Washington,M,College,694832.59%,40598,91,1/0/00,Personal Auto,Four-Door Car,302.791402
DB71122,California,F,Doctor,351583.19%,15144,90,1/0/00,Personal Auto,Four-Door Car,372.652536
TM14491,California,M,Bachelor,1203662.05%,44428,104,1/0/00,Personal Auto,SUV,499.2
OY94707,California,M,College,360979.83%,58297,97,01/05/2000,Special Auto,Four-Door Car,647.039443
LN55080,Oregon,F,Bachelor,1773246.49%,42191,74,01/01/2000,Special Auto,Two-Door Car,68.647736
TZ47750,Nevada,M,Master,850985.09%,26057,74,1/0/00,Personal Auto,Four-Door Car,523.888845
SJ74501,Arizona,F,Bachelor,586642.43%,26608,73,1/0/00,Personal Auto,Two-Door Car,234.234301
LE26899,California,M,Doctor,482550.09%,0,63,1/0/00,Personal Auto,Four-Door Car,272.843439
ML34366,California,M,College,538949.95%,66429,136,1/0/00,Personal Auto,Sports Car,57.712985
EI45850,California,F,Bachelor,777800.56%,25970,72,01/03/2000,Personal Auto,Four-Door Car,430.818992
LD75023,Oregon,M,High School or Below,2634608.58%,48268,223,1/0/00,Personal Auto,Luxury SUV,1605.6
JW12998,California,F,High School or Below,1486645.12%,24279,126,1/0/00,Personal Auto,Sports Car,604.8
LP47259,Arizona,M,High School or Below,832423.27%,0,121,1/0/00,Corporate Auto,Sports Car,871.2
XD21246,Oregon,F,High School or Below,923830.60%,0,128,1/0/00,Personal Auto,SUV,921.6
