Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
ZG94155,Oregon,M,Bachelor,623430.59%,0,82,1/0/00,Personal Auto,Two-Door Car,192.7604
QN15356,Arizona,M,College,753960.06%,0,74,1/0/00,Personal Auto,Four-Door Car,532.8
MZ16820,Nevada,M,High School or Below,815793.36%,86811,102,1/0/00,Corporate Auto,Four-Door Car,489.6
DO98345,Oregon,M,High School or Below,1315674.90%,72517,82,1/0/00,Personal Auto,Two-Door Car,371.458196
PA48777,Washington,F,High School or Below,249125.76%,25965,5353,1/0/00,Personal Auto,Four-Door Car,329.206567
UK76814,Oregon,F,Doctor,533938.84%,84424,66,1/0/00,Personal Auto,Four-Door Car,231.537001
SR30440,California,F,College,864917.50%,43383,109,1/0/00,Personal Auto,SUV,757.593913
XE66367,Oregon,M,High School or Below,751913.36%,96306,95,01/01/2000,Special Auto,Four-Door Car,185.355353
SZ70655,California,F,College,429300.96%,0,61,1/0/00,Corporate Auto,Two-Door Car,292.8
UV54502,Washington,female,High School or Below,253774.45%,0,69,1/0/00,Personal Auto,Four-Door Car,331.2
DK98861,Arizona,F,College,1316033.89%,94125,109,1/0/00,Personal Auto,SUV,341.680131
JX14364,Oregon,M,College,1323554.44%,39778,112,1/0/00,Personal Auto,SUV,806.4
LI85491,Oregon,F,High School or Below,374457.77%,0,101,1/0/00,Personal Auto,SUV,727.2
JY87538,Oregon,F,College,2848607.28%,91871,102,1/0/00,Personal Auto,SUV,346.845129
VE55982,Nevada,M,Bachelor,264468.46%,54000,66,1/0/00,Corporate Auto,Two-Door Car,373.881547
WK99918,Oregon,M,Doctor,507328.21%,57709,125,1/0/00,Personal Auto,SUV,600
XP16538,Arizona,F,High School or Below,427258.51%,81132,107,1/0/00,Corporate Auto,SUV,419.105559
HW42900,California,M,College,1100301.65%,22926,93,1/0/00,Corporate Auto,Four-Door Car,479.934846
JG84729,Arizona,F,College,1418164.28%,0,72,01/02/2000,Personal Auto,Four-Door Car,345.6
XH85336,Washington,M,Bachelor,554803.19%,67798,69,1/0/00,Personal Auto,Four-Door Car,331.2
ND29059,Oregon,M,Bachelor,1107768.59%,78011,138,1/0/00,Personal Auto,SUV,619.698644
HC76653,Oregon,M,College,243568.90%,32931,62,1/0/00,Personal Auto,Four-Door Car,297.6
SG73822,California,F,Bachelor,874385.22%,99517,109,1/0/00,Personal Auto,Four-Door Car,239.905208
CB44654,Arizona,M,Bachelor,240976.09%,59665,62,01/01/2000,Personal Auto,Two-Door Car,167.138119
MP53505,Washington,F,High School or Below,550001.25%,86073,136,1/0/00,Corporate Auto,Sports Car,333.5671
YJ43481,Arizona,F,High School or Below,852828.87%,91099,107,1/0/00,Corporate Auto,SUV,406.430632
TP15362,Oregon,M,College,359199.61%,28013,91,1/0/00,Personal Auto,Four-Door Car,655.2
YX90754,Nevada,F,High School or Below,853982.69%,55478,71,1/0/00,Personal Auto,Two-Door Car,339.399593
TQ32702,Nevada,F,College,699091.78%,22568,88,1/0/00,Corporate Auto,Four-Door Car,422.4
TS50305,California,F,High School or Below,397938.82%,0,112,1/0/00,Personal Auto,SUV,806.4
BY22068,Arizona,M,High School or Below,2395037.44%,39335,201,1/0/00,Corporate Auto,Luxury SUV,964.8
TJ48439,Oregon,F,College,232105.25%,0,66,1/0/00,Personal Auto,Two-Door Car,508.703134
TE61015,Oregon,M,College,508702.05%,0,72,1/0/00,Personal Auto,Four-Door Car,345.6
RD89159,Oregon,M,College,436293.12%,58842,110,1/0/00,Personal Auto,Four-Door Car,528
VW86720,Oregon,F,Bachelor,745746.81%,0,69,1/0/00,Personal Auto,Four-Door Car,678.209827
UM76485,Oregon,M,College,702775.96%,0,102,1/0/00,Personal Auto,SUV,489.6
LS62045,Oregon,F,Bachelor,283168.37%,70037,70,1/0/00,Personal Auto,Four-Door Car,409.985435
ZG84862,Nevada,M,High School or Below,421785.79%,0,62,1/0/00,Personal Auto,Two-Door Car,446.4
CD76093,Nevada,M,College,759629.15%,59847,192,1/0/00,Corporate Auto,Luxury Car,921.6
FO99259,California,M,Bachelor,836567.76%,26630,118,1/0/00,Personal Auto,Four-Door Car,581.077056
KN87338,Oregon,F,High School or Below,272639.30%,48039,68,1/0/00,Personal Auto,Four-Door Car,11.451889
LT89398,California,M,High School or Below,342045.22%,0,92,1/0/00,Personal Auto,Four-Door Car,441.6
NZ19529,Arizona,M,High School or Below,483910.72%,0,137,1/0/00,Personal Auto,SUV,1227.458548
PR41853,Arizona,F,Bachelor,435855.35%,0,118,1/0/00,Corporate Auto,Sports Car,101.826804
ZF40671,Washington,F,Master,1242739.37%,15818,107,1/0/00,Personal Auto,Two-Door Car,333.886816
XR84971,Oregon,F,Doctor,2351585.33%,36537,85,1/0/00,Personal Auto,Four-Door Car,165.309001
BP83941,Arizona,F,Master,839632.76%,0,115,01/01/2000,Personal Auto,SUV,552
PY80449,Arizona,M,High School or Below,517097.64%,53603,132,01/01/2000,Personal Auto,Sports Car,697.272246
ET22260,Nevada,M,Doctor,558530.81%,0,80,1/0/00,Corporate Auto,Four-Door Car,6.281344
OF47250,California,F,Doctor,863949.50%,92374,107,01/01/2000,Personal Auto,SUV,220.018279
WB58031,California,M,High School or Below,528183.35%,39658,66,1/0/00,Corporate Auto,Four-Door Car,316.8
UV80201,Oregon,F,Bachelor,838525.23%,0,116,1/0/00,Personal Auto,Sports Car,556.8
PY10605,Arizona,M,Bachelor,463310.13%,0,70,1/0/00,Personal Auto,Two-Door Car,336
JI82682,California,F,High School or Below,248039.27%,0,65,1/0/00,Personal Auto,Four-Door Car,328.314222
BU14748,Arizona,M,High School or Below,361868.69%,50755,91,1/0/00,Personal Auto,Two-Door Car,436.8
QK18099,Washington,F,College,537584.28%,69050,67,1/0/00,Personal Auto,Four-Door Car,334.892437
LD26428,Oregon,M,Bachelor,489329.15%,0,73,1/0/00,Corporate Auto,Four-Door Car,680.047456
MY43761,California,M,High School or Below,1073768.43%,50607,137,1/0/00,Personal Auto,SUV,657.6
WQ89892,Washington,F,College,260781.55%,0,70,01/01/2000,Special Auto,Two-Door Car,336
GY55415,Nevada,F,Bachelor,1572525.05%,0,149,1/0/00,Corporate Auto,SUV,1072.8
IB42395,Nevada,M,College,955341.55%,0,146,1/0/00,Corporate Auto,SUV,1051.2
ZU74482,Oregon,M,College,750745.54%,60920,64,1/0/00,Personal Auto,Two-Door Car,231.201886
NL74789,California,F,Bachelor,732492.82%,0,105,1/0/00,Special Auto,Two-Door Car,504
YU86594,Oregon,M,High School or Below,533303.81%,55674,66,1/0/00,Personal Auto,Four-Door Car,81.710575
QN37451,California,M,College,1276723.06%,0,189,1/0/00,Corporate Auto,Luxury Car,2201.327879
GD83998,Washington,M,Bachelor,265933.80%,24495,70,1/0/00,Personal Auto,Four-Door Car,336
IL83479,Oregon,F,College,348363.04%,42983,86,1/0/00,Personal Auto,Four-Door Car,412.8
EF87528,Arizona,M,College,463654.65%,26802,66,01/01/2000,Special Auto,Two-Door Car,316.8
IV74747,California,M,Doctor,1753003.66%,0,97,1/0/00,Corporate Auto,Four-Door Car,469.229028
JZ81608,Oregon,M,High School or Below,697871.98%,53808,88,1/0/00,Personal Auto,Four-Door Car,189.835063
EO40136,Arizona,F,College,291224.84%,93403,73,1/0/00,Personal Auto,Four-Door Car,295.224598
ZR40902,Oregon,F,Bachelor,420927.93%,26435,111,01/01/2000,Corporate Auto,Four-Door Car,1012.249308
PO89542,Oregon,F,Bachelor,500980.89%,0,68,1/0/00,Personal Auto,Four-Door Car,326.4
FX57380,California,F,Bachelor,521751.33%,39854,66,1/0/00,Personal Auto,Two-Door Car,261.930545
NM22175,Oregon,M,College,1149033.62%,0,161,1/0/00,Personal Auto,SUV,1052.933035
BC97773,Nevada,F,Master,286454.40%,91368,71,1/0/00,Personal Auto,Four-Door Car,395.328407
MN34012,Arizona,M,Bachelor,840391.02%,0,115,1/0/00,Personal Auto,SUV,552
KY29506,California,F,College,2039596.88%,92850,104,01/01/2000,Personal Auto,Four-Door Car,499.2
VU84949,Washington,F,Bachelors,529263.25%,0,70,1/0/00,Personal Auto,Two-Door Car,336
HC20975,Arizona,M,Bachelor,1672777.19%,30915,72,01/02/2000,Personal Auto,Four-Door Car,345.6
IF87079,Arizona,F,Master,580112.83%,48927,72,1/0/00,Personal Auto,Four-Door Car,139.354893
EP18940,Oregon,F,Bachelor,947297.38%,0,86,1/0/00,Personal Auto,Four-Door Car,412.8
SB44003,Arizona,F,College,1048491.54%,61108,89,1/0/00,Personal Auto,Four-Door Car,49.451117
MK15785,Nevada,M,Master,438731.09%,48015,110,1/0/00,Corporate Auto,Sports Car,528
VP89545,Arizona,M,College,452288.35%,0,61,1/0/00,Personal Auto,Four-Door Car,292.8
HJ58678,Nevada,F,College,541815.21%,57587,68,1/0/00,Personal Auto,Four-Door Car,257.090387
MW80236,Washington,M,Master,,0,70,1/0/00,Personal Auto,Four-Door Car,336
IA52178,Arizona,F,College,1578529.69%,81119,196,1/0/00,Corporate Auto,SUV,940.8
WC42895,California,F,Bachelor,2211039.80%,65724,70,1/0/00,Personal Auto,Four-Door Car,14.518312
JP41935,Washington,M,High School or Below,1359619.97%,20128,70,01/02/2000,Personal Auto,Four-Door Car,336
YM77369,Oregon,M,High School or Below,475612.62%,56146,119,1/0/00,Corporate Auto,Four-Door Car,401.785805
WV15213,California,M,Bachelor,244705.31%,84658,62,1/0/00,Personal Auto,Four-Door Car,44.780402
GX37592,Nevada,F,College,567592.33%,33257,72,01/01/2000,Personal Auto,Four-Door Car,345.6
VM34210,Washington,F,College,739903.21%,0,101,1/0/00,Personal Auto,SUV,337.617149
YJ59924,Oregon,M,College,730843.39%,31115,92,1/0/00,Personal Auto,Four-Door Car,441.6
OO35641,Oregon,F,College,3287174.78%,78487,117,1/0/00,Personal Auto,SUV,448.255019
EU54076,Oregon,M,Bachelor,522892.01%,92472,65,1/0/00,Corporate Auto,Four-Door Car,240.221415
QH56750,Arizona,M,High School or Below,2070086.45%,0,64,1/0/00,Personal Auto,Four-Door Car,460.8
PQ27923,Washington,M,Master,633303.08%,71737,79,1/0/00,Personal Auto,Two-Door Car,338.79562
ES16126,California,M,College,433038.60%,60475,107,1/0/00,Personal Auto,Four-Door Car,513.6
PG42834,Arizona,F,Bachelor,629273.54%,26577,79,1/0/00,Personal Auto,Four-Door Car,73.719521
OY44814,Arizona,M,High School or Below,491788.96%,0,71,1/0/00,Personal Auto,Two-Door Car,511.2
JI97190,California,M,High School or Below,516581.00%,43461,64,1/0/00,Personal Auto,Two-Door Car,307.2
ZK61113,Oregon,M,High School or Below,629159.00%,0,94,1/0/00,Personal Auto,Two-Door Car,676.8
MU88116,Oregon,F,Master,458267.42%,69085,113,1/0/00,Corporate Auto,Sports Car,472.271907
TP61305,California,M,High School or Below,606244.16%,0,84,1/0/00,Personal Auto,Four-Door Car,604.8
ZY20779,Washington,M,High School or Below,497907.99%,0,71,1/0/00,Personal Auto,Two-Door Car,340.8
KP65334,California,F,College,583056.14%,0,77,1/0/00,Corporate Auto,Four-Door Car,783.431945
OH15677,California,M,High School or Below,374257.91%,0,110,01/01/2000,Personal Auto,Sports Car,1272.546918
HB53755,Oregon,F,High School or Below,384959.67%,0,106,1/0/00,Personal Auto,Sports Car,763.2
UF77079,Arizona,F,High School or Below,1526581.49%,58361,95,1/0/00,Personal Auto,Four-Door Car,43.599861
TD20252,Arizona,M,College,531780.72%,74092,67,1/0/00,Personal Auto,Four-Door Car,321.6
TH68362,California,F,College,237480.92%,0,64,1/0/00,Corporate Auto,Four-Door Car,380.822087
TO34442,Washington,M,College,553286.33%,59768,71,01/01/2000,Personal Auto,Four-Door Car,340.8
MP96373,Washington,M,Master,571978.57%,54585,7575,01/01/2000,Personal Auto,Two-Door Car,340.8
CV72453,Oregon,F,High School or Below,451220.44%,0,125,1/0/00,Corporate Auto,SUV,900
OY92520,California,F,Bachelor,726480.39%,12075,94,1/0/00,Personal Auto,Four-Door Car,451.2
UY95530,California,M,College,865886.38%,62464,109,1/0/00,Personal Auto,Sports Car,400.181882
FB84235,Oregon,M,College,549894.07%,22520,73,1/0/00,Personal Auto,Four-Door Car,350.4
MJ14480,Arizona,F,High School or Below,559938.29%,35012,72,1/0/00,Personal Auto,Four-Door Car,345.6
KW81128,Arizona,F,College,1522819.87%,95140,126,1/0/00,Personal Auto,Sports Car,45.049185
DQ98402,Nevada,F,High School or Below,364483.36%,82477,90,1/0/00,Corporate Auto,Two-Door Car,432
WN53966,California,M,Master,369344.08%,85871,92,01/01/2000,Personal Auto,Four-Door Car,112.633539
QK69627,Washington,F,High School or Below,938816.29%,75264,78,1/0/00,Personal Auto,Four-Door Car,343.340301
QC55306,Washington,M,High School or Below,3116269.33%,83170,97,1/0/00,Personal Auto,Four-Door Car,344.118069
WV79842,California,M,High School or Below,928373.78%,24314,235,1/0/00,Personal Auto,Luxury SUV,1128
DF40318,Oregon,M,Master,255122.67%,79751,63,1/0/00,Corporate Auto,Two-Door Car,392.235698
TN90661,Nevada,M,High School or Below,581191.81%,83318,72,1/0/00,Corporate Auto,Four-Door Car,345.6
ZU88029,Oregon,F,Master,406467.06%,26161,109,1/0/00,Personal Auto,Sports Car,594.444586
TQ88221,California,F,Bachelor,284144.31%,30473,72,1/0/00,Corporate Auto,Four-Door Car,450.080101
KH34667,Nevada,M,College,683213.39%,50472,87,1/0/00,Corporate Auto,Four-Door Car,281.163705
HW54198,Nevada,M,Master,520197.14%,94186,64,1/0/00,Personal Auto,Four-Door Car,135.340489
GZ79662,Arizona,M,High School or Below,548458.82%,47611,69,1/0/00,Corporate Auto,Four-Door Car,593.654484
YA11342,California,M,High School or Below,767268.14%,0,103,1/0/00,Personal Auto,Four-Door Car,518.720216
ZW18871,Oregon,M,High School or Below,827248.54%,91245,69,1/0/00,Corporate Auto,Four-Door Car,19.251693
QZ17137,Arizona,F,High School or Below,333067.28%,45944,83,1/0/00,Personal Auto,Two-Door Car,182.948495
UV53712,California,F,College,556245.64%,59649,69,01/01/2000,Personal Auto,Four-Door Car,167.738267
SJ43436,Oregon,F,Bachelor,245273.86%,52785,61,1/0/00,Corporate Auto,Two-Door Car,45.721456
VW46878,Oregon,F,High School or Below,792028.29%,59648,66,1/0/00,Personal Auto,Four-Door Car,316.8
TW91179,Oregon,F,College,386148.63%,93272,95,1/0/00,Corporate Auto,Four-Door Car,281.110788
LG19551,Arizona,M,Bachelor,576478.42%,22134,72,1/0/00,Corporate Auto,Four-Door Car,445.879224
AI49712,Washington,F,High School or Below,259389.79%,0,72,1/0/00,Personal Auto,Four-Door Car,345.6
WN14473,Arizona,M,Master,288235.06%,87798,71,1/0/00,Personal Auto,Two-Door Car,204.448708
WH62198,California,M,Bachelor,221318.79%,0,63,1/0/00,Personal Auto,Four-Door Car,305.552429
SP85148,California,F,Master,942962.94%,43811,117,1/0/00,Personal Auto,Sports Car,571.136574
FB49203,California,F,College,623925.75%,0,91,1/0/00,Corporate Auto,Two-Door Car,655.2
FF94341,Nevada,F,Bachelor,766880.96%,92456,95,1/0/00,Special Auto,Four-Door Car,456
TS42594,California,F,High School or Below,1377097.62%,59207,116,1/0/00,Personal Auto,Four-Door Car,556.8
IL43607,California,F,High School or Below,274284.43%,64519,69,01/01/2000,Corporate Auto,Four-Door Car,331.2
FL85008,Oregon,F,High School or Below,1346692.07%,11432,119,1/0/00,Personal Auto,SUV,571.2
AN47199,Nevada,F,College,885835.20%,0,80,1/0/00,Personal Auto,Two-Door Car,81.255741
SV28347,California,M,High School or Below,848533.00%,32607,111,01/01/2000,Corporate Auto,SUV,532.8
IC78105,Arizona,F,High School or Below,774464.44%,26444,196,1/0/00,Personal Auto,Luxury Car,940.8
RB28630,Oregon,F,High School or Below,589490.74%,39381,74,01/01/2000,Personal Auto,Four-Door Car,355.2
KA32645,Nevada,M,College,577068.41%,0,83,1/0/00,Personal Auto,Four-Door Car,946.345269
QD73891,Oregon,M,High School or Below,526111.75%,90217,66,01/01/2000,Personal Auto,Four-Door Car,316.8
LM58949,Oregon,M,High School or Below,240353.95%,24248,70,01/03/2000,Personal Auto,Four-Door Car,336
YG40323,Arizona,M,Bachelor,912460.00%,99368,113,1/0/00,Personal Auto,Four-Door Car,82.427785
EP82214,Arizona,F,High School or Below,2618080.53%,68189,82,01/01/2000,Special Auto,Four-Door Car,343.121192
EO91797,Nevada,F,Master,1564125.86%,32370,130,1/0/00,Corporate Auto,SUV,487.736171
RU50098,Arizona,F,Master,257402.04%,34990,65,1/0/00,Personal Auto,Four-Door Car,42.689135
QW10541,California,F,High School or Below,531983.87%,25714,67,1/0/00,Personal Auto,Two-Door Car,321.6
SB50826,Oregon,M,College,749600.66%,61091,95,1/0/00,Personal Auto,Two-Door Car,409.868003
XX29952,Arizona,M,College,1217458.96%,88184,104,01/03/2000,Personal Auto,Four-Door Car,240.176533
AT93647,California,F,College,260557.08%,60252,65,1/0/00,Personal Auto,Four-Door Car,182.436205
QP56563,Oregon,M,College,270720.85%,80985,67,1/0/00,Personal Auto,Four-Door Car,124.933587
UF88986,Washington,F,College,279490.75%,39783,72,1/0/00,Personal Auto,Two-Door Car,345.6
TY43440,California,M,High School or Below,881901.89%,99845,110,01/01/2000,Personal Auto,SUV,528
NJ15094,Washington,F,Bachelors,534599.46%,0,72,1/0/00,Personal Auto,Four-Door Car,345.6
MM45334,Oregon,F,College,816951.40%,40803,71,01/03/2000,Personal Auto,Four-Door Car,122.912377
KH93988,Oregon,F,College,770888.39%,71134,98,01/03/2000,Personal Auto,Two-Door Car,196.37368
RY38931,Arizona,M,Bachelor,552821.28%,36088,72,1/0/00,Personal Auto,Four-Door Car,345.6
CV48634,Nevada,M,College,1212844.67%,29431,103,1/0/00,Personal Auto,SUV,237.896227
TN76120,Washington,M,Bachelors,552821.28%,36088,72,1/0/00,Personal Auto,Four-Door Car,345.6
ZS96174,Oregon,M,College,679684.48%,17937,65,1/0/00,Personal Auto,Two-Door Car,312
MI62456,Arizona,F,Bachelor,286731.22%,23376,78,1/0/00,Personal Auto,Four-Door Car,374.4
DD44177,California,F,Doctor,239557.00%,21986,63,1/0/00,Personal Auto,Two-Door Car,333.696228
NX31380,Arizona,F,Bachelor,709416.77%,23032,89,1/0/00,Corporate Auto,Four-Door Car,427.2
KQ43374,Oregon,F,College,412809.13%,32114,104,1/0/00,Corporate Auto,SUV,445.29049
XA54112,California,M,Bachelor,404693.61%,13330,117,1/0/00,Corporate Auto,SUV,561.6
QB14087,California,F,College,486928.28%,44934,61,1/0/00,Personal Auto,Four-Door Car,357.926979
FV42881,Oregon,F,College,290215.19%,96137,73,01/02/2000,Corporate Auto,Two-Door Car,67.490616
AV76907,Oregon,F,College,428294.80%,40864,109,01/01/2000,Personal Auto,SUV,166.937747
VM85555,California,F,College,775012.03%,22668,67,01/01/2000,Personal Auto,Four-Door Car,33.718553
ZU88113,Oregon,M,College,662717.46%,90751,82,01/01/2000,Personal Auto,Two-Door Car,315.826382
SZ75668,Oregon,M,College,747460.58%,44186,64,01/02/2000,Personal Auto,Four-Door Car,295.04969
MZ65087,Oregon,M,College,556129.14%,92678,70,1/0/00,Personal Auto,Four-Door Car,34.689611
EL61402,Arizona,F,Bachelor,609846.21%,74257,76,1/0/00,Personal Auto,Four-Door Car,214.586742
CJ31839,California,M,Bachelor,285952.89%,99981,71,1/0/00,Special Auto,Four-Door Car,204.872273
XM11175,Arizona,M,College,599442.46%,0,91,1/0/00,Personal Auto,Four-Door Car,655.2
LF41085,Arizona,F,College,563524.95%,19591,74,1/0/00,Personal Auto,Two-Door Car,95.925021
MB19556,California,F,College,506720.83%,29095,127,1/0/00,Personal Auto,SUV,664.280864
HC74532,Oregon,F,Bachelor,226328.46%,0,62,1/0/00,Corporate Auto,Four-Door Car,389.750793
SB66770,Arizona,M,Master,1443567.37%,60880,119,1/0/00,Corporate Auto,Two-Door Car,109.906628
JI25066,AZ,F,Bachelor,492839.71%,61785,61,1/0/00,Personal Auto,Two-Door Car,271.10697
PY98958,Oregon,M,Bachelor,1203662.05%,44428,104,1/0/00,Special Auto,SUV,499.2
RA65645,California,M,High School or Below,856476.82%,95697,107,1/0/00,Personal Auto,Sports Car,178.006524
FQ79356,California,F,Bachelor,236188.39%,18064,63,01/02/2000,Personal Auto,Four-Door Car,182.964184
TM25808,California,M,High School or Below,556569.33%,74720,70,1/0/00,Personal Auto,Two-Door Car,200.812425
XO46388,California,F,Bachelor,514680.98%,22594,67,1/0/00,Personal Auto,Four-Door Car,321.6
LB81265,AZ,F,Bachelor,293808.03%,40987,73,1/0/00,Personal Auto,Four-Door Car,329.013275
JR38787,Nevada,M,High School or Below,1443274.64%,24561,126,1/0/00,Personal Auto,SUV,853.473552
KZ22690,California,F,College,1302741.98%,76456,83,01/01/2000,Personal Auto,Four-Door Car,42.693918
NY49598,California,M,College,245198.88%,65828,62,1/0/00,Personal Auto,Four-Door Car,297.6
KY39767,Oregon,F,College,466198.41%,0,68,01/01/2000,Personal Auto,Four-Door Car,489.6
YU35386,AZ,F,Bachelor,560001.02%,63621,70,1/0/00,Personal Auto,Four-Door Car,444.620265
TF82172,AZ,M,College,401613.28%,10074,107,1/0/00,Corporate Auto,SUV,108.995934
ER40041,Oregon,F,College,2219580.30%,78965,183,1/0/00,Personal Auto,Luxury Car,145.587985
MS39869,Nevada,F,College,734335.37%,0,68,1/0/00,Personal Auto,Four-Door Car,479.028818
PV77906,AZ,M,Bachelor,480451.43%,23604,64,1/0/00,Corporate Auto,Two-Door Car,460.8
QF21045,Oregon,F,College,273553.89%,99205,68,1/0/00,Personal Auto,Two-Door Car,323.246017
HF65914,AZ,M,College,694097.28%,0,92,1/0/00,Personal Auto,Two-Door Car,441.6
AJ58038,California,F,Bachelor,239621.93%,0,66,01/02/2000,Corporate Auto,Four-Door Car,433.160284
ZR88383,Nevada,F,College,538089.86%,55350,67,1/0/00,Personal Auto,Four-Door Car,321.6
OT49339,Oregon,M,College,843281.57%,21052,111,1/0/00,Corporate Auto,SUV,453.578343
FI74985,Oregon,F,High School or Below,755650.75%,0,69,1/0/00,Personal Auto,Four-Door Car,496.8
JW15301,AZ,M,High School or Below,778743.17%,24664,69,1/0/00,Corporate Auto,Four-Door Car,496.8
PY20159,Nevada,M,College,478781.29%,45225,124,1/0/00,Corporate Auto,Sports Car,209.176923
NC42524,California,M,College,970764.76%,30430,86,1/0/00,Special Auto,Four-Door Car,425.662574
ZG19911,California,F,Bachelor,255222.62%,35149,64,1/0/00,Personal Auto,Two-Door Car,120.477298
DI89983,California,M,Bachelor,522342.93%,16513,71,1/0/00,Personal Auto,Four-Door Car,340.8
IG56214,Nevada,M,High School or Below,501044.93%,10892,66,1/0/00,Personal Auto,Four-Door Car,316.8
CA86085,Washington,M,High School or Below,560831.63%,67176,72,1/0/00,Personal Auto,Four-Door Car,345.6
UO95739,Oregon,M,College,445793.63%,54704,113,1/0/00,Personal Auto,SUV,468.176056
SB64873,Oregon,M,Doctor,820078.73%,25381,71,1/0/00,Personal Auto,Four-Door Car,340.8
TE82896,Oregon,F,High School or Below,274608.01%,0,74,1/0/00,Personal Auto,Four-Door Car,355.2
VY64199,Oregon,F,Bachelor,1021577.92%,18150,67,1/0/00,Corporate Auto,Four-Door Car,220.304649
IE82679,California,M,Bachelor,245357.08%,29735,69,1/0/00,Personal Auto,Four-Door Car,331.2
SL70257,Nevada,F,College,587295.88%,77156,73,1/0/00,Personal Auto,Four-Door Car,445.817914
XJ85947,Oregon,F,College,311892.79%,88782,78,1/0/00,Personal Auto,Four-Door Car,357.757645
EF84269,California,F,College,556865.65%,51489,139,1/0/00,Personal Auto,SUV,236.739322
NY91328,California,F,Bachelor,902971.47%,16972,125,1/0/00,Personal Auto,SUV,600
AT49447,California,M,Bachelor,759182.72%,99359,95,1/0/00,Personal Auto,Two-Door Car,233.265397
BM70908,AZ,M,College,225531.29%,58289,62,01/04/2000,Personal Auto,Two-Door Car,297.6
GM63998,Oregon,F,Doctor,3261369.04%,45173,268,1/0/00,Personal Auto,Luxury Car,1286.4
AR61426,California,F,Bachelor,944564.95%,93246,78,1/0/00,Personal Auto,Two-Door Car,41.628869
CB62406,AZ,M,High School or Below,680359.68%,43758,171,1/0/00,Corporate Auto,SUV,1129.929433
WH82416,Oregon,M,Bachelor,976621.71%,75651,81,1/0/00,Personal Auto,Four-Door Car,375.11129
UI53874,AZ,F,Doctor,729484.61%,0,67,1/0/00,Personal Auto,Four-Door Car,321.6
LM44949,Oregon,F,Doctor,568251.53%,36938,70,1/0/00,Special Auto,Four-Door Car,244.801119
JR59597,California,M,Bachelor,633294.18%,50843,82,1/0/00,Personal Auto,Two-Door Car,393.6
ZS22428,California,F,Bachelor,491657.70%,21907,62,1/0/00,Personal Auto,Four-Door Car,2.96438
AZ34845,California,F,Bachelor,479824.09%,77846,119,1/0/00,Personal Auto,Sports Car,342.471939
XZ34917,Washington,M,Bachelor,564380.24%,41043,72,1/0/00,Personal Auto,Four-Door Car,345.6
QU20310,AZ,F,High School or Below,924746.44%,97030,76,1/0/00,Corporate Auto,Four-Door Car,416.637499
NQ42020,Oregon,M,High School or Below,732292.89%,80864,182,1/0/00,Personal Auto,Luxury SUV,618.210272
ZF40143,Nevada,F,College,827590.01%,48197,106,1/0/00,Personal Auto,Four-Door Car,508.8
GU65780,California,M,Doctor,563540.37%,70837,73,01/04/2000,Personal Auto,Four-Door Car,362.743231
KY32675,AZ,M,High School or Below,1497028.51%,85297,93,1/0/00,Special Auto,Two-Door Car,620.011594
ZX35838,Oregon,F,Master,933633.69%,70177,115,1/0/00,Personal Auto,Four-Door Car,225.517666
